timestamp,src_ip,dst_ip,protocol,length
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.243482Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.248580Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.248580Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.248580Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.251024Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.252441Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.253398Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.253398Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.255407Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.255407Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.258161Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.259170Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.261180Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.264585Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.265545Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.265545Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.266053Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.266053Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.266053Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.267564Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.267564Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.267564Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.267564Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.267564Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.269576Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.269576Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.269576Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.269576Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.271269Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.271269Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.271269Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.273380Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.273380Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.273380Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.273380Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.273380Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.275590Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.278214Z,127.0.0.1,127.0.0.1,TCP,44
2025-10-07T08:51:12.278561Z,127.0.0.1,127.0.0.1,TCP,56
2025-10-07T08:51:12.279131Z,127.0.0.1,127.0.0.1,TCP,44
